STATION_NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,YEAR,MONTH,DAY
Dadeldhura,29.3,80.583,1647,1990-01-01,0.0,1990,1,1
Dadeldhura,29.3,80.583,1647,1990-01-02,0.0,1990,1,2
Dadeldhura,29.3,80.583,1647,1990-01-03,0.0,1990,1,3
Dadeldhura,29.3,80.583,1647,1990-01-04,30.3,1990,1,4
Dadeldhura,29.3,80.583,1647,1990-01-05,0.0,1990,1,5
Dadeldhura,29.3,80.583,1647,1990-01-06,0.0,1990,1,6
Dadeldhura,29.3,80.583,1647,1990-01-07,0.0,1990,1,7
Dadeldhura,29.3,80.583,1647,1990-01-08,0.0,1990,1,8
Dadeldhura,29.3,80.583,1647,1990-01-09,0.0,1990,1,9
Dadeldhura,29.3,80.583,1647,1990-01-10,0.0,1990,1,10
Dadeldhura,29.3,80.583,1647,1990-01-11,0.0,1990,1,11
Dadeldhura,29.3,80.583,1647,1990-01-12,0.0,1990,1,12
Dadeldhura,29.3,80.583,1647,1990-01-13,12.6,1990,1,13
Dadeldhura,29.3,80.583,1647,1990-01-14,0.0,1990,1,14
Dadeldhura,29.3,80.583,1647,1990-01-15,0.0,1990,1,15
Dadeldhura,29.3,80.583,1647,1990-01-16,0.0,1990,1,16
Dadeldhura,29.3,80.583,1647,1990-01-17,0.0,1990,1,17
Dadeldhura,29.3,80.583,1647,1990-01-18,0.0,1990,1,18
Dadeldhura,29.3,80.583,1647,1990-01-19,0.9,1990,1,19
Dadeldhura,29.3,80.583,1647,1990-01-20,0.0,1990,1,20
Dadeldhura,29.3,80.583,1647,1990-01-21,0.0,1990,1,21
Dadeldhura,29.3,80.583,1647,1990-01-22,0.0,1990,1,22
Dadeldhura,29.3,80.583,1647,1990-01-23,0.0,1990,1,23
Dadeldhura,29.3,80.583,1647,1990-01-24,0.0,1990,1,24
Dadeldhura,29.3,80.583,1647,1990-01-25,0.0,1990,1,25
Dadeldhura,29.3,80.583,1647,1990-01-26,0.0,1990,1,26
Dadeldhura,29.3,80.583,1647,1990-01-27,0.0,1990,1,27
Dadeldhura,29.3,80.583,1647,1990-01-28,0.0,1990,1,28
Dadeldhura,29.3,80.583,1647,1990-01-29,0.0,1990,1,29
Dadeldhura,29.3,80.583,1647,1990-01-30,0.0,1990,1,30
Dadeldhura,29.3,80.583,1647,1990-01-31,0.0,1990,1,31
Dadeldhura,29.3,80.583,1647,1990-02-01,0.0,1990,2,1
Dadeldhura,29.3,80.583,1647,1990-02-02,0.0,1990,2,2
Dadeldhura,29.3,80.583,1647,1990-02-03,0.0,1990,2,3
Dadeldhura,29.3,80.583,1647,1990-02-04,0.0,1990,2,4
Dadeldhura,29.3,80.583,1647,1990-02-05,0.0,1990,2,5
Dadeldhura,29.3,80.583,1647,1990-02-06,0.0,1990,2,6
Dadeldhura,29.3,80.583,1647,1990-02-07,0.0,1990,2,7
Dadeldhura,29.3,80.583,1647,1990-02-08,11.1,1990,2,8
Dadeldhura,29.3,80.583,1647,1990-02-09,0.0,1990,2,9
Dadeldhura,29.3,80.583,1647,1990-02-10,0.0,1990,2,10
Dadeldhura,29.3,80.583,1647,1990-02-11,0.0,1990,2,11
Dadeldhura,29.3,80.583,1647,1990-02-12,7.5,1990,2,12
Dadeldhura,29.3,80.583,1647,1990-02-13,0.0,1990,2,13
Dadeldhura,29.3,80.583,1647,1990-02-14,0.0,1990,2,14
Dadeldhura,29.3,80.583,1647,1990-02-15,0.0,1990,2,15
Dadeldhura,29.3,80.583,1647,1990-02-16,0.0,1990,2,16
Dadeldhura,29.3,80.583,1647,1990-02-17,3.5,1990,2,17
Dadeldhura,29.3,80.583,1647,1990-02-18,0.0,1990,2,18
Dadeldhura,29.3,80.583,1647,1990-02-19,1.9,1990,2,19
Dadeldhura,29.3,80.583,1647,1990-02-20,0.0,1990,2,20
Dadeldhura,29.3,80.583,1647,1990-02-21,0.0,1990,2,21
Dadeldhura,29.3,80.583,1647,1990-02-22,0.0,1990,2,22
Dadeldhura,29.3,80.583,1647,1990-02-23,0.0,1990,2,23
Dadeldhura,29.3,80.583,1647,1990-02-24,0.0,1990,2,24
Dadeldhura,29.3,80.583,1647,1990-02-25,0.5,1990,2,25
Dadeldhura,29.3,80.583,1647,1990-02-26,0.0,1990,2,26
Dadeldhura,29.3,80.583,1647,1990-02-27,0.0,1990,2,27
Dadeldhura,29.3,80.583,1647,1990-02-28,0.0,1990,2,28
Dadeldhura,29.3,80.583,1647,1990-03-01,0.0,1990,3,1
Dadeldhura,29.3,80.583,1647,1990-03-02,0.0,1990,3,2
Dadeldhura,29.3,80.583,1647,1990-03-03,0.0,1990,3,3
Dadeldhura,29.3,80.583,1647,1990-03-04,0.0,1990,3,4
Dadeldhura,29.3,80.583,1647,1990-03-05,0.0,1990,3,5
Dadeldhura,29.3,80.583,1647,1990-03-06,0.8,1990,3,6
Dadeldhura,29.3,80.583,1647,1990-03-07,0.0,1990,3,7
Dadeldhura,29.3,80.583,1647,1990-03-08,0.0,1990,3,8
Dadeldhura,29.3,80.583,1647,1990-03-09,0.0,1990,3,9
Dadeldhura,29.3,80.583,1647,1990-03-10,0.0,1990,3,10
Dadeldhura,29.3,80.583,1647,1990-03-11,0.0,1990,3,11
Dadeldhura,29.3,80.583,1647,1990-03-12,0.0,1990,3,12
Dadeldhura,29.3,80.583,1647,1990-03-13,21.6,1990,3,13
Dadeldhura,29.3,80.583,1647,1990-03-14,0.0,1990,3,14
Dadeldhura,29.3,80.583,1647,1990-03-15,17.5,1990,3,15
Dadeldhura,29.3,80.583,1647,1990-03-16,0.0,1990,3,16
Dadeldhura,29.3,80.583,1647,1990-03-17,0.0,1990,3,17
Dadeldhura,29.3,80.583,1647,1990-03-18,0.0,1990,3,18
Dadeldhura,29.3,80.583,1647,1990-03-19,3.9,1990,3,19
Dadeldhura,29.3,80.583,1647,1990-03-20,0.7,1990,3,20
Dadeldhura,29.3,80.583,1647,1990-03-21,0.0,1990,3,21
Dadeldhura,29.3,80.583,1647,1990-03-22,0.0,1990,3,22
Dadeldhura,29.3,80.583,1647,1990-03-23,0.0,1990,3,23
Dadeldhura,29.3,80.583,1647,1990-03-24,31.2,1990,3,24
Dadeldhura,29.3,80.583,1647,1990-03-25,0.0,1990,3,25
Dadeldhura,29.3,80.583,1647,1990-03-26,0.0,1990,3,26
Dadeldhura,29.3,80.583,1647,1990-03-27,0.0,1990,3,27
Dadeldhura,29.3,80.583,1647,1990-03-28,0.0,1990,3,28
Dadeldhura,29.3,80.583,1647,1990-03-29,0.0,1990,3,29
Dadeldhura,29.3,80.583,1647,1990-03-30,0.0,1990,3,30
Dadeldhura,29.3,80.583,1647,1990-03-31,0.0,1990,3,31
Dadeldhura,29.3,80.583,1647,1990-04-01,0.0,1990,4,1
Dadeldhura,29.3,80.583,1647,1990-04-02,0.0,1990,4,2
Dadeldhura,29.3,80.583,1647,1990-04-03,14.7,1990,4,3
Dadeldhura,29.3,80.583,1647,1990-04-04,8.7,1990,4,4
Dadeldhura,29.3,80.583,1647,1990-04-05,0.0,1990,4,5
Dadeldhura,29.3,80.583,1647,1990-04-06,22.1,1990,4,6
Dadeldhura,29.3,80.583,1647,1990-04-07,0.0,1990,4,7
Dadeldhura,29.3,80.583,1647,1990-04-08,0.0,1990,4,8
Dadeldhura,29.3,80.583,1647,1990-04-09,0.0,1990,4,9
Dadeldhura,29.3,80.583,1647,1990-04-10,0.0,1990,4,10
Dadeldhura,29.3,80.583,1647,1990-04-11,0.0,1990,4,11
Dadeldhura,29.3,80.583,1647,1990-04-12,0.0,1990,4,12
Dadeldhura,29.3,80.583,1647,1990-04-13,0.0,1990,4,13
Dadeldhura,29.3,80.583,1647,1990-04-14,0.0,1990,4,14
Dadeldhura,29.3,80.583,1647,1990-04-15,0.0,1990,4,15
Dadeldhura,29.3,80.583,1647,1990-04-16,0.2,1990,4,16
Dadeldhura,29.3,80.583,1647,1990-04-17,0.0,1990,4,17
Dadeldhura,29.3,80.583,1647,1990-04-18,0.0,1990,4,18
Dadeldhura,29.3,80.583,1647,1990-04-19,0.0,1990,4,19
Dadeldhura,29.3,80.583,1647,1990-04-20,0.0,1990,4,20
Dadeldhura,29.3,80.583,1647,1990-04-21,0.0,1990,4,21
Dadeldhura,29.3,80.583,1647,1990-04-22,0.0,1990,4,22
Dadeldhura,29.3,80.583,1647,1990-04-23,0.0,1990,4,23
Dadeldhura,29.3,80.583,1647,1990-04-24,0.0,1990,4,24
Dadeldhura,29.3,80.583,1647,1990-04-25,11.1,1990,4,25
Dadeldhura,29.3,80.583,1647,1990-04-26,15.0,1990,4,26
Dadeldhura,29.3,80.583,1647,1990-04-27,0.0,1990,4,27
Dadeldhura,29.3,80.583,1647,1990-04-28,2.5,1990,4,28
Dadeldhura,29.3,80.583,1647,1990-04-29,0.1,1990,4,29
Dadeldhura,29.3,80.583,1647,1990-04-30,5.1,1990,4,30
Dadeldhura,29.3,80.583,1647,1990-05-01,0.0,1990,5,1
Dadeldhura,29.3,80.583,1647,1990-05-02,0.0,1990,5,2
Dadeldhura,29.3,80.583,1647,1990-05-03,0.0,1990,5,3
Dadeldhura,29.3,80.583,1647,1990-05-04,0.8,1990,5,4
Dadeldhura,29.3,80.583,1647,1990-05-05,0.0,1990,5,5
Dadeldhura,29.3,80.583,1647,1990-05-06,0.0,1990,5,6
Dadeldhura,29.3,80.583,1647,1990-05-07,0.0,1990,5,7
Dadeldhura,29.3,80.583,1647,1990-05-08,0.0,1990,5,8
Dadeldhura,29.3,80.583,1647,1990-05-09,0.0,1990,5,9
